Week,Series,Value,Lower,Upper,IsFuture
2025-05-11,Prophet (In-sample),1077086.9478375514,,,0
2025-05-18,Prophet (In-sample),1069285.9494053521,,,0
2025-05-25,Prophet (In-sample),1083817.1517680488,,,0
2025-06-01,Prophet (In-sample),1100405.7276195681,,,0
2025-06-08,Prophet (In-sample),1101021.3935735615,,,0
2025-06-15,Prophet (In-sample),1090396.132750733,,,0
2025-06-22,Prophet (In-sample),1087796.6446914338,,,0
2025-06-29,Prophet (In-sample),1100952.6970279028,,,0
2025-07-06,Prophet (In-sample),1115195.8289623503,,,0
2025-07-13,Prophet (In-sample),1111992.7793087715,,,0
2025-07-20,Prophet (In-sample),1093859.3430083892,,,0
2025-07-27,Prophet (In-sample),1083520.6996898658,,,0
2025-08-03,Prophet (In-sample),1096573.144339487,,,0
2025-08-10,Prophet (In-sample),1120613.0005084083,,,0
2025-08-17,Prophet (In-sample),1127545.062412292,,,0
2025-08-24,Prophet (In-sample),1106003.6234682738,,,0
2025-08-31,Prophet (In-sample),1075778.3572230316,,,0
2025-09-07,Prophet,1066841.4838967794,996168.5756935783,1138614.710973308,1
2025-09-14,Prophet,1087312.3379633375,1016264.8318562198,1158502.410107721,1
2025-09-21,Prophet,1117091.1081349053,1041985.0194862637,1186868.5672642484,1
2025-09-28,Prophet,1132540.1282913506,1061219.0109847179,1201114.1734461286,1
2025-10-05,Prophet,1131227.414820063,1061808.6587644187,1205353.1727286759,1
2025-10-12,Prophet,1128148.9518619992,1054557.460133262,1192544.8994563327,1
2025-10-19,Prophet,1131395.6590253003,1064863.3235008467,1203890.5179317147,1
2025-10-26,Prophet,1129920.6088883542,1058354.9168471687,1200400.4212796933,1
2025-11-02,Prophet,1109089.315046906,1040893.7413125157,1177622.2843696459,1
2025-11-09,Prophet,1073589.1682274633,999766.168196435,1142389.4406536769,1
2025-11-16,Prophet,1047561.6571491344,975842.0716897584,1117471.976827742,1
2025-11-23,Prophet,1050135.6182008758,978047.2559180807,1120521.75079726,1
2025-11-30,Prophet,1075138.6465525634,1004990.9569232278,1150722.9300825328,1
2025-12-07,Prophet,1098877.8964029052,1026315.6865075119,1170207.28622655,1
2025-12-14,Prophet,1106212.1414713738,1035521.804436612,1179917.5139122265,1
2025-12-21,Prophet,1104224.1747691417,1031134.0486889065,1179579.939640138,1
2025-12-28,Prophet,1109125.7501256298,1039883.8262828445,1180542.7509207195,1
2026-01-04,Prophet,1124145.9579800423,1057463.4838837858,1188954.09143353,1
2026-01-11,Prophet,1135067.7021839533,1063314.1996873228,1206366.7046980236,1
2026-01-18,Prophet,1127165.4935764577,1052044.4977875936,1200356.4654849733,1
2026-01-25,Prophet,1102317.7379130144,1028851.1862965381,1172539.293966533,1
2026-02-01,Prophet,1077277.371686601,1005886.856469538,1150041.0719364386,1
2026-02-08,Prophet,1067458.033079951,995163.8118613578,1136390.0826740672,1
2026-02-15,Prophet,1075121.2546544438,1003759.42843574,1147104.976119892,1
2025-09-07,Naive Seasonal,1086827.14,,,1
2025-09-14,Naive Seasonal,1009021.15,,,1
2025-09-21,Naive Seasonal,1024850.22,,,1
2025-09-28,Naive Seasonal,1115905.43,,,1
2025-10-05,Naive Seasonal,1153170.58,,,1
2025-10-12,Naive Seasonal,1073626.97,,,1
2025-10-19,Naive Seasonal,1036697.04,,,1
2025-10-26,Naive Seasonal,1111539.86,,,1
2025-11-02,Naive Seasonal,1097311.36,,,1
2025-11-09,Naive Seasonal,1039071.59,,,1
2025-11-16,Naive Seasonal,1087766.97,,,1
2025-11-23,Naive Seasonal,1133839.04,,,1
2025-11-30,Naive Seasonal,1086567.51,,,1
2025-12-07,Naive Seasonal,1004172.68,,,1
2025-12-14,Naive Seasonal,1102868.02,,,1
2025-12-21,Naive Seasonal,1223555.45,,,1
2025-12-28,Naive Seasonal,1167585.13,,,1
2026-01-04,Naive Seasonal,1056314.1199999999,,,1
2026-01-11,Naive Seasonal,1079240.42,,,1
2026-01-18,Naive Seasonal,1118554.81,,,1
2026-01-25,Naive Seasonal,1090486.48,,,1
2026-02-01,Naive Seasonal,1120910.05,,,1
2026-02-08,Naive Seasonal,1137703.7,,,1
2026-02-15,Naive Seasonal,1117129.07,,,1
2025-09-07,SARIMA,1067065.328069428,975585.9555824692,1167122.5972990796,1
2025-09-14,SARIMA,1091599.6974856206,997086.1411519861,1195072.1711706792,1
2025-09-21,SARIMA,1120114.0165191172,1023029.5193663642,1226411.7371507396,1
2025-09-28,SARIMA,1102052.0574053396,1006542.5724845696,1206624.3102200832,1
2025-10-05,SARIMA,1097151.024557724,1002064.4014000889,1201260.486857124,1
2025-10-12,SARIMA,1148936.736982556,1049362.3460661236,1257959.7796097617,1
2025-10-19,SARIMA,1137667.7386771815,1039069.9345304415,1245621.53192484,1
2025-10-26,SARIMA,1067975.5366242465,975417.7291381387,1169316.1942377607,1
2025-11-02,SARIMA,1076561.8495847832,983259.8934728131,1178717.268623603,1
2025-11-09,SARIMA,1086568.7555822846,992399.5356616561,1189673.733392549,1
2025-11-16,SARIMA,1043856.6059656962,953389.1023795237,1142908.6100298865,1
2025-11-23,SARIMA,1011523.720259049,923858.3983721407,1107507.6423503575,1
2025-11-30,SARIMA,1075876.1397158017,982633.6119928694,1177966.4911545638,1
2025-12-07,SARIMA,1105272.1752725043,1009481.9935114434,1210151.9286958587,1
2025-12-14,SARIMA,1108121.9675129526,1012084.8035106915,1213272.1394742348,1
2025-12-21,SARIMA,1077033.6548897398,983690.8096857475,1179233.8429345787,1
2025-12-28,SARIMA,1107884.554372647,1011867.9661601783,1213012.1980985615,1
2026-01-04,SARIMA,1114928.2623061652,1018301.2203102623,1220724.2859929998,1
2026-01-11,SARIMA,1128500.4866479724,1030697.1856664558,1235584.385089058,1
2026-01-18,SARIMA,1110291.2845510799,1014066.1136525297,1215647.303418807,1
2026-01-25,SARIMA,1086301.0974388367,992155.0740685019,1189380.677617082,1
2026-02-01,SARIMA,1059239.8093454703,967439.0962397583,1159751.531712099,1
2026-02-08,SARIMA,1062247.0980906002,970185.7530751878,1163044.1838847066,1
2026-02-15,SARIMA,1066977.115536963,974505.8364086574,1168223.034225292,1
2025-09-07,SARIMAX+Promo,1124742.545315691,1029062.2369536419,1229319.0322367337,1
2025-09-14,SARIMAX+Promo,1139692.205864108,1041809.3111425093,1246771.6598567811,1
2025-09-21,SARIMAX+Promo,1171291.7491755264,1070593.6614356234,1281461.315441536,1
2025-09-28,SARIMAX+Promo,1101363.1341944954,1006685.9557107206,1204944.5474843672,1
2025-10-05,SARIMAX+Promo,1096293.9265802754,1002050.7670063853,1199400.6821104903,1
2025-10-12,SARIMAX+Promo,1147925.9384540247,1049244.527733185,1255888.3323627329,1
2025-10-19,SARIMAX+Promo,1136782.9553603702,1039059.3984264232,1243697.4147531036,1
2025-10-26,SARIMAX+Promo,1067240.3252551907,975495.0099183011,1167614.2884074806,1
2025-11-02,SARIMAX+Promo,1075761.77423556,983283.9106397466,1176937.1820123638,1
2025-11-09,SARIMAX+Promo,1085694.9072774916,992363.142525539,1187804.525557483,1
2025-11-16,SARIMAX+Promo,1043009.0811173542,953346.8030196762,1141104.0975304083,1
2025-11-23,SARIMAX+Promo,1010803.1309346551,923909.4377995521,1105869.1768975852,1
2025-11-30,SARIMAX+Promo,1124540.7795419693,1027869.6287550654,1230303.8532080257,1
2025-12-07,SARIMAX+Promo,1155340.111058913,1056021.296091471,1263999.8617092299,1
2025-12-14,SARIMAX+Promo,1158505.701407468,1058914.7559805815,1267463.1764393141,1
2025-12-21,SARIMAX+Promo,1125930.6358276745,1029140.0064077071,1231824.425056009,1
2025-12-28,SARIMAX+Promo,1106588.1064201556,1011460.2571231256,1210662.7310829496,1
2026-01-04,SARIMAX+Promo,1114396.9704490786,1018597.8325477536,1219206.0183751306,1
2026-01-11,SARIMAX+Promo,1127469.577567753,1030546.6525021514,1233508.1049017853,1
2026-01-18,SARIMAX+Promo,1109458.2842026404,1014083.7004257637,1213802.8486889924,1
2026-01-25,SARIMAX+Promo,1085606.2293730143,992282.0870920251,1187707.5083631885,1
2026-02-01,SARIMAX+Promo,1058548.1536333733,967550.0592930546,1158104.6198057602,1
2026-02-08,SARIMAX+Promo,1061404.5278546712,970160.8848595663,1161229.6365808165,1
2026-02-15,SARIMAX+Promo,1066288.328735891,974624.850178796,1166572.758523242,1
